# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,
rails_roundrobin,app1,0,0,0,20,1000,1064915,613703587,11084907343,,0,,43,172,201,0,UP,1,1,0,51,13,21833,493,,1,1,1,,1064714,,2,1,,17,L7OK,200,9,1,997727,41758,24876,70,0,0,,,,106,0,
rails_roundrobin,app2,0,0,1,26,1000,1065129,613956116,11076002035,,0,,30,242,261,0,UP,1,1,0,65,15,194748,525,,1,1,2,,1064868,,2,1,,24,L7OK,200,10,0,997764,41743,24877,64,0,0,,,,167,0,
rails_roundrobin,app3,0,0,0,19,1000,1065026,614029461,11090428221,,0,,72,192,374,0,UP,1,1,0,65,17,21897,660,,1,1,3,,1064652,,2,2,,17,L7OK,200,10,1,997707,41852,24640,69,0,0,,,,193,0,
rails_roundrobin,app4,0,0,1,19,1000,1064867,614438147,11083641238,,0,,71,147,361,0,UP,1,1,0,67,21,21774,722,,1,1,4,,1064506,,2,2,,17,L7OK,200,9,0,996818,42516,24784,62,0,0,,,,171,0,
rails_roundrobin,BACKEND,0,0,2,73,0,4258895,2456220121,44335011697,0,0,,371,759,1197,0,UP,4,4,0,,2,492298,61,,1,1,0,,4258740,,1,9,,68,,,,0,3990016,167869,99177,1825,6,,,,,637,0,
sinatra_roundrobin,app1,0,0,0,512,1000,29032605,14071336317,26554476158,,0,,1078,5462,11023,0,UP,1,1,0,54,13,21834,469,,1,2,1,,29021582,,2,2,,234,L7OK,200,1,0,6570199,19790002,2649289,165,0,0,,,,6464,0,
sinatra_roundrobin,app2,0,0,0,610,1000,29042491,14074716992,26657558702,,0,,877,6864,20877,0,UP,1,1,0,71,18,194748,592,,1,2,2,,29021614,,2,3,,245,L7OK,200,2,0,6573925,19784040,2645553,171,0,0,,,,11061,0,
sinatra_roundrobin,app3,0,0,0,621,1000,29038527,14070178575,26559721725,,0,,4943,7034,23538,0,UP,1,1,0,69,19,21901,712,,1,2,3,,29014989,,2,3,,244,L7OK,200,2,0,6570368,19775102,2650125,179,0,0,,,,12182,0,
sinatra_roundrobin,app4,0,0,1,732,1000,29038128,14070258955,26610630347,,0,,1270,6615,20400,0,UP,1,1,0,68,18,21771,643,,1,2,4,,29017728,,2,3,,242,L7OK,200,2,0,6572658,19780133,2646027,168,0,0,,,,12125,0,
sinatra_roundrobin,BACKEND,0,0,1,1858,0,116080850,56288206896,106383433576,0,0,,13105,25975,75838,0,UP,4,4,0,,2,492297,72,,1,2,0,,116075913,,1,14,,576,,,,0,26287150,79129277,10590994,73428,0,,,,,41832,0,
rails,FRONTEND,,,4,1864,4096,120350889,58744570697,150724161409,0,0,10870,10,21,,,DOWN,,,,,,,,,1,3,0,,,,0,25,0,588,,,,0,30277349,79297146,10701025,75253,12,,25,581,120350789,,,